,Unnamed: 0,State,Account_Length,Area_code,Phone,International_Plan,VMail_Plan,VMail_Message,Day_Mins,Day_calls,Day_Charge,Eve_Mins,Eve_calls,Eve_Charge,Night_Mins,Night_Calls,Night_Charge,International_Mins,International_Calls,International_Charge,CustServ_Calls,Churn
0,0,16,128,415, 382-4657,0,1,25,265.1,110,45.07,197.4,99,16.78,244.7,91,11.01,10.0,3,2.7,1,0
1,1,4,107,415, 371-7191,0,1,26,161.6,123,27.47,195.5,103,16.62,254.4,103,11.45,13.7,3,3.7,1,0
2,2,9,137,415, 358-1921,0,0,0,243.4,114,41.38,121.2,110,10.3,162.6,104,7.32,12.2,5,3.29,0,0
3,3,4,84,408, 375-9999,1,0,0,299.4,71,50.9,200.8,88,17.07,196.9,89,8.86,6.6,7,1.78,2,0
4,4,40,75,415, 330-6626,1,0,0,166.7,113,28.34,148.3,122,12.61,186.9,121,8.41,10.1,3,2.73,3,0
5,5,2,118,510, 391-8027,1,0,0,223.4,98,37.98,220.6,101,18.75,203.9,118,9.18,6.3,6,1.7,0,0
6,6,15,121,510, 355-9993,0,1,24,218.2,88,37.09,200.8,108,17.07,212.6,118,9.57,7.5,7,2.03,3,0
7,7,33,147,415, 329-9001,1,0,0,157.0,79,26.69,103.1,94,8.76,211.8,96,9.53,7.1,6,1.92,0,0
8,8,47,117,408, 335-4719,0,0,0,184.5,97,31.37,200.8,80,17.07,215.8,90,9.71,8.7,4,2.35,1,0
9,9,1,141,415, 330-8173,1,1,37,258.6,84,43.96,222.0,111,18.87,326.4,97,14.69,11.2,5,3.02,0,0
10,10,28,65,415, 329-6603,0,0,0,129.1,137,21.95,228.5,83,19.42,208.8,111,9.4,12.7,6,3.43,4,1
11,11,26,74,415, 344-9403,0,0,0,187.7,127,31.91,163.4,148,13.89,196.0,94,8.82,9.1,5,2.46,0,0
12,12,50,168,408, 363-1107,0,0,0,128.8,96,21.9,104.9,71,8.92,141.1,128,6.35,11.2,2,3.02,1,0
13,13,21,95,510, 394-8006,0,0,0,156.6,88,26.62,247.6,75,21.05,192.3,115,8.65,12.3,5,3.32,3,0
14,14,50,62,415, 366-9238,0,0,0,120.7,70,20.52,307.2,76,26.11,203.0,99,9.14,13.1,6,3.54,4,0
15,15,7,161,415, 351-7269,0,0,0,180.0,67,30.6,317.8,97,27.01,160.6,128,7.23,5.4,9,1.46,4,1
16,16,5,85,408, 350-8884,0,1,27,196.4,139,33.39,280.9,90,23.88,89.3,75,4.02,13.8,4,3.73,1,0
17,17,17,93,510, 386-2923,0,0,0,190.7,114,32.42,218.2,111,18.55,129.6,121,5.83,8.1,3,2.19,3,0
18,18,6,76,510, 356-2992,0,1,33,189.7,66,32.25,212.8,65,18.09,165.7,108,7.46,10.0,5,2.7,1,0
19,19,11,73,415, 373-2782,0,0,0,224.4,90,38.15,159.5,88,13.56,192.8,74,8.68,13.0,2,3.51,1,0
20,20,31,147,415, 396-5800,0,0,0,155.1,117,26.37,239.7,93,20.37,208.8,133,9.4,10.6,4,2.86,0,0
